nombre,sector,precio,area,publicador1,publicador2,tiempo_publicacion,finalizado,fecha_venta
Hacienda La Pradera Lotes Ideales Para Casas de Campo,"Los Chillos, Quito",USD 36.000,1 Baño,/logo_constructora-monge_1531453042006.jpg,/logo_constructora-monge_1531453042006.jpg,Publicado hace 273 días,,
"Amaguaña, en Venta 4.500 m de Terreno, $30 por Metro","Los Chillos, Quito",USD 135.000,0 Baños,/logo_lkec-constructora-s.a._1595360385196.jpg,/logo_lkec-constructora-s.a._1595360385196.jpg,Publicado hace más de 1 año,,
"Terreno Ideal Para Proyecto Habitacional, Puembo (Cos 50/100)","Puembo, Quito",USD 850.000,0 Baños,/logo_freddy-cabrera_5.jpg,/logo_freddy-cabrera_5.jpg,Publicado hace más de 1 año,,
Tumbaco - Collaqui - Vendo Terreno Urbanización - Areas Comunales,"Tumbaco, Quito",USD 192.681,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 91 días,,
"Aproveche! Fabuloso Terreno de Venta, Puembo Dentro de Urbanización","Puembo, Quito",USD 210.000,0 Baños,/logo_dinmo-inmobiliaria_1569885872048.jpg,/logo_dinmo-inmobiliaria_1569885872048.jpg,Publicado hace 223 días,,
Vendo 1750 m² Casa y Terreno Tumbaco,"Tumbaco, Quito",USD 290.000,10 Estacionamientos,/logo_sandra-aguirre_2.jpg,/logo_sandra-aguirre_2.jpg,Publicado hace 9 días,,
Venta Terreno $295.000 - Sector La Viña,"Tumbaco, Quito",USD 295.000,0 Baños,/logo_inmoimpakto-inmobiliaria_1600984048693.jpg,/logo_inmoimpakto-inmobiliaria_1600984048693.jpg,Publicado hace 63 días,,
El Condado Terreno de Oportunidad,"El Condado, Quito",USD 140.000,0 Baños,,,Publicado hace más de 1 año,,
Tumbaco Terrenos en Venta en Urbanizacion Privada Nueva. Via Intervalles,"Tumbaco, Quito",USD 246.400,0 Baños,/logo_mari-a-de-los-angeles-salvador_1528210855243.jpg,/logo_mari-a-de-los-angeles-salvador_1528210855243.jpg,Publicado hace más de 1 año,,
Terreno 400 m² en Tumbaco Vendo,"Tumbaco, Quito",USD 74.900,0 Baños,/logo_inmoimpakto-inmobiliaria_1600984048693.jpg,/logo_inmoimpakto-inmobiliaria_1600984048693.jpg,Publicado hace 235 días,,
"Oportunidad! Sangolqui/urb Banco de Fomento/ Terreno 778 m, Esquinero","Los Chillos, Quito",USD 61.000,0 Baños,/logo_lkec-constructora-s.a._1595360385196.jpg,/logo_lkec-constructora-s.a._1595360385196.jpg,Publicado hace más de 1 año,,
Terreno en Pintag Ideales Para Inversion o Quinta,"Los Chillos, Quito",USD 285.000,0 Baños,/logo_eugenia-wither_2.jpg,/logo_eugenia-wither_2.jpg,Publicado hace 277 días,,
Últimos Lotes Urbanizados en Puembo - Conjunto Residencial Plaza del Parque,"Puembo, Quito",USD 96.137,0 Baños,/logo_88in-proyectos_2.jpg,/logo_88in-proyectos_2.jpg,Publicado hace más de 1 año,,
Precioso Terreno en Pifo - Excelente Entorno Residencial,"Pifo, Quito",USD 165.248,0 Baños,/logo_savana-bienes-raices_1505513148716.jpg,/logo_savana-bienes-raices_1505513148716.jpg,Publicado hace 3 días,,
Terreno Tumbaco 1.000 m² de Oportunidad,"Tumbaco, Quito",USD 169.000,0 Baños,/logo_ocivil-s.a._8.jpg,/logo_ocivil-s.a._8.jpg,Publicado hace 66 días,,
Terreno Dentro de Urbanización Privada - Puembo,"Puembo, Quito",USD 184.855,0 Baños,/logo_moz_1557940078420.jpg,/logo_moz_1557940078420.jpg,Publicado hace más de 1 año,,
"Puembo, Lote de 393 m² de Venta en Urbanización","Puembo, Quito",USD 107.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 86 días,,
Terreno en Oferta Mitad del Mundo Dos Has,"Mitad del Mundo, Quito",USD 700.000,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 125 días,,
Argelia Alta - Venta Hermoso Terreno 980 m. Esquinero,"San Bartolo, Quito",USD 85.500,0 Baños,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,Publicado hace 35 días,,
Terreno Calderón 1.900 m Frente Al Conjunto San Sebastián 2,"Calderón, Quito",USD 230.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 3 días,,
Terreno en Venta Excelente Ubicación Cumbaya,"Cumbayá, Quito",USD 260.000,0 Baños,/logo_the-best_1543967424709.jpg,/logo_the-best_1543967424709.jpg,Publicado hace 73 días,,
Av Pedro Vicente Maldonado - 9000 m². Terreno Esquinero Sector Guamani,"Sur de Quito, Quito",USD 3.780.000,0 Baños,/logo_nelson-vasconez_1602199226207.jpg,/logo_nelson-vasconez_1602199226207.jpg,Publicado hace 31 días,,
Oportunidad! Venta Terreno 540 m en Urbanizacion Sector Ushimana 3 Min San Luis,"Los Chillos, Quito",USD 38.990,0 Baños,/logo_gold-business-inmobiliaria.jpg,/logo_gold-business-inmobiliaria.jpg,Publicado hace 58 días,,
"Vendo un Terreno de 1200 m² en Cumbaya, Sector Colegio Aleman","Cumbayá, Quito",USD 420.000,0 Baños,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 136 días,,
Terreno en Venta - Tanda - Quito,"Cumbayá, Quito",USD 349.000,0 Baños,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,Publicado hace 16 días,,
"Excelente Propiedad Para Taller Automotriz, Concesionario o Empresa","Norte de Quito, Quito",USD 495.000,10 Estacionamientos,/logo_temp_inmobiliaria-ekinoxio.jpg,/logo_temp_inmobiliaria-ekinoxio.jpg,Publicado hace 63 días,,
Ultimo Terreno Dentro de Urbanización de Lujo en Puembo,"Puembo, Quito",USD 182.778,0 Baños,/logo_moz_1557940078420.jpg,/logo_moz_1557940078420.jpg,Publicado hace más de 1 año,,
Vendo Excelente Terreno Para Uso Comercial Sur de Quito,"Sur de Quito, Quito",USD 15.592.000,0 Baños,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 42 días,,
Terreno Esquinero 766 m² Quito Tennis,"Centro Norte, Quito",USD 690.000,0 Baños,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 111 días,,
"Se Vende Terreno Sur de Quito, Excelente Inversión","Quitumbe, Quito",USD 28.000,0 Baños,/logo_remax-100_1539119191357.jpg,/logo_remax-100_1539119191357.jpg,Publicado hace 268 días,,
Vendo Amplio Terreno / Sector El Inca,"El Inca, Quito",USD 330.000,0 Baños,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 63 días,,
"Terreno 948 m² Alangasi, Valle de Los Chillos","Los Chillos, Quito",USD 68.000,0 Baños,/logo_soledad-vasconez_3.jpg,/logo_soledad-vasconez_3.jpg,Publicado hace más de 1 año,,
"El Recreo - Av Maldonado, Excelente Terreno de Venta 2576 m²","El Recreo, Quito",USD 750.000,0 Baños,/logo_corporacion-vyasa_1552611954132.jpg,/logo_corporacion-vyasa_1552611954132.jpg,Publicado hace 106 días,,
Conocoto Vendo Terreno 606 m² Pv,"Los Chillos, Quito",USD 28.000,0 Baños,/logo_inmokasa_1554220831093.jpg,/logo_inmokasa_1554220831093.jpg,Publicado hace más de 1 año,,
Vendo Terreno en Principal Zabala,"Calderón, Quito",USD 58.000,0 Baños,/logo_maria-dolores-toledo-dominguez_0.jpg,/logo_maria-dolores-toledo-dominguez_0.jpg,Publicado hace 13 días,,
Lote Excelente Ubicación / Vista - Para Proyecto Inmobiliario,"Centro Norte, Quito",USD 1.350.000,0 Baños,/logo_mejia-narvaez-chujon-arquitectos-asociados_1542389737575.jpg,/logo_mejia-narvaez-chujon-arquitectos-asociados_1542389737575.jpg,Publicado hace 23 días,,
Re/max Capital Vende El Eden 3.262 Mtrs2 Terreno 43.50 Frente,"Norte de Quito, Quito",USD 456.522,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace más de 1 año,,
Vendo 13 Terrenos Urbanizados en Pedregal de Miranda Conocoto.,"Conocoto, Quito",USD 28.000,2 Estacionamientos,/placeholder-img.png,/placeholder-img.png,Publicado hace más de 1 año,,
Vendo o Arriendo Terreno Esquinero en Ponceano,"Ponceano, Quito",USD 1.100.000,10 Estacionamientos,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 2 días,,
De Oportunidad Terreno en Toctiuco,"Centro de Quito, Quito",USD 19.000,0 Baños,/logo_remax-sol_1583189552262.jpg,/logo_remax-sol_1583189552262.jpg,Publicado hace 281 días,,
Vendo Hermoso Terreno en Cumbaya Sector Colegio Menor,"Cumbayá, Quito",USD 360.000,0 Baños,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 95 días,,
"Terreno en Venta en Ponceano Alto, 450 m²","Ponceano, Quito",USD 159.900,0 Baños,/logo_remax-100_1539119191357.jpg,/logo_remax-100_1539119191357.jpg,Publicado hace 92 días,,
"1000 m² Tumbaco, en Urbanización Lujosa","Tumbaco, Quito",USD 185.000,0 Baños,/logo_inmobiliaria-construir-r-r.jpg,/logo_inmobiliaria-construir-r-r.jpg,Publicado hace 358 días,,
"Vendo Lote en Urbanización Los Arrayanes Frente Al Golf 1206,69 m², Puembo","Puembo, Quito",USD 420.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 23 días,,
Terreno en Lomas de Monteserrín,"Monteserrín, Quito",USD 420.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 36 días,,
Lotizacion Terrenos de Venta Sur de Quito,"Quitumbe, Quito",USD 19.900,0 Baños,/logo_remax-100_1539119191357.jpg,/logo_remax-100_1539119191357.jpg,Publicado hace 323 días,,
"Terreno 1150 m² Barrio Alma Lojana, Puengasì","Conocoto, Quito",USD 61.500,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 43 días,,
Terrenos Urbanizados Valle de Los Chillos,"Los Chillos, Quito",USD 39.900,0 Baños,/logo_prohabitat-inmobiliaria_1580407357512.jpg,/logo_prohabitat-inmobiliaria_1580407357512.jpg,Publicado hace 64 días,,
"Venta Terreno Sector Mirasierra180 Mt $40,000 Urbanizado Propiedad Horizontal","Los Chillos, Quito",USD 40.000,0 Baños,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,Publicado hace 230 días,,
